protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
P08708,1,1,0,1,0,0,0,1,0
P09936,0,0,1,1,0,1,0,1,0
P11387,0,1,0,1,0,0,0,1,1
P20290,0,1,0,1,1,0,0,1,0
P20700,1,1,1,1,0,0,0,0,0
P26358,1,1,1,0,0,0,0,1,0
P27694,1,1,0,1,0,0,0,1,0
P33992,1,1,0,1,0,0,0,1,0
P35637,1,1,0,1,0,0,0,1,0
P42285,0,1,1,1,0,0,0,1,0
P42677,1,0,1,1,0,0,0,1,0
P42766,1,1,0,1,0,0,0,1,0
P46063,0,0,1,1,0,0,0,1,1
P46459,1,1,0,1,0,0,0,1,0
P46778,1,1,0,1,0,0,0,1,0
P46821,1,0,0,1,0,1,0,1,0
P48506,0,1,0,1,0,0,1,1,0
P48681,0,0,0,0,1,1,1,1,0
P49354,1,1,0,1,0,0,0,1,0
P51991,1,1,1,1,0,0,0,0,0
P52292,1,1,0,1,0,0,0,1,0
P55036,1,1,0,1,0,0,0,1,0
P55263,1,1,0,1,0,0,0,1,0
P61081,1,0,0,1,1,0,0,1,0
P61086,1,1,0,1,1,0,0,0,0
P61201,0,1,0,1,0,0,1,1,0
P62306,1,1,0,1,0,0,0,1,0
P62310,1,1,0,1,0,0,0,1,0
P62314,1,1,0,1,0,0,0,1,0
P62495,1,1,0,1,0,0,0,1,0
P62753,1,1,0,1,0,0,0,1,0
P62841,1,1,0,0,0,0,1,1,0
P62995,0,1,1,1,0,0,0,1,0
P63279,0,1,0,1,0,0,1,1,0
P68363,0,1,1,0,1,0,1,0,0
P78344,0,1,1,1,0,0,0,1,0
P82979,1,0,1,1,0,0,0,1,0
P83881,0,0,1,1,0,0,1,1,0
P84103,1,0,1,1,0,0,0,1,0
P98179,1,0,0,1,0,0,1,1,0
Q01130,1,0,1,1,0,0,0,1,0
Q01581,0,1,0,1,0,0,1,1,0
Q02952,0,1,0,0,1,0,1,1,0
Q03164,1,0,1,0,0,0,1,1,0
Q03252,1,1,1,1,0,0,0,0,0
Q05519,0,1,0,1,0,0,1,1,0
Q07666,1,0,1,1,0,0,0,1,0
Q08170,1,1,0,0,1,0,1,0,0
Q12888,0,1,0,1,0,0,1,1,0
Q13148,1,1,0,1,0,0,0,1,0
Q13247,0,1,1,1,0,0,0,1,0
Q14157,1,0,0,1,1,0,0,1,0
Q14203,0,1,0,1,0,0,1,1,0
Q14232,1,1,0,0,1,0,0,1,0
Q14258,1,1,0,1,0,0,0,1,0
Q14444,1,1,0,1,0,0,0,1,0
Q15029,0,1,0,1,0,0,1,1,0
Q15056,0,0,0,1,1,0,1,1,0
Q15121,1,0,0,0,0,1,1,1,0
Q15370,0,1,0,1,0,0,1,1,0
Q15637,1,0,1,1,0,0,0,1,0
Q16186,1,0,0,1,1,0,0,1,0
